rank,name,current,24h Peak,All-Time Peak
1.,Counter-Strike 2,"602,871","1,570,715","1,818,773"
2.,Marvel Rivals,"380,787","383,277","480,990"
3.,Dota 2,"306,175","669,312","1,295,114"
4.,Path of Exile 2,"227,785","380,369","578,569"
5.,PUBG: BATTLEGROUNDS,"161,704","796,837","3,257,248"
6.,Source SDK Base 2007,"127,133","212,634","221,857"
7.,Palworld,"121,126","212,817","2,101,867"
8.,Banana,"103,110","124,956","917,272"
9.,Grand Theft Auto V,"97,888","206,836","364,548"
10.,Call of Duty®,"96,060","118,843","491,670"
11.,Rust,"93,299","178,165","245,243"
12.,Baldur's Gate 3,"83,615","111,403","875,343"
13.,HELLDIVERS™ 2,"82,376","98,757","458,709"
14.,Stardew Valley,"77,846","123,160","236,614"
15.,Team Fortress 2,"69,215","131,632","253,997"
16.,Wallpaper Engine,"67,226","128,829","150,375"
17.,Warframe,"63,193","75,482","189,837"
18.,Tom Clancy's Rainbow Six Siege,"58,330","74,155","201,933"
19.,NARAKA: BLADEPOINT,"56,955","251,806","385,770"
20.,Delta Force,"56,517","107,197","118,964"
21.,ELDEN RING,"54,433","79,862","953,426"
22.,Cyberpunk 2077,"53,221","71,690","1,054,388"
23.,Apex Legends,"51,019","137,986","624,473"
24.,War Thunder,"49,942","104,767","121,318"
25.,Sid Meier's Civilization VI,"48,715","76,994","162,657"
26.,Crosshair X,"48,051","74,215","89,033"
27.,Crab Game,"44,642","44,929","75,967"
28.,VRChat,"43,354","52,459","53,102"
29.,The Forest,"42,965","101,401","109,397"
30.,Project Zomboid,"42,308","58,235","65,505"
31.,Left 4 Dead 2,"40,133","42,387","162,399"
32.,Balatro,"37,698","40,623","40,623"
33.,EA SPORTS FC 25,"35,021","86,568","110,026"
34.,The Sims™ 4,"34,735","50,057","96,328"
35.,Red Dead Redemption 2,"34,437","56,278","77,655"
36.,DayZ,"34,104","67,514","78,937"
37.,Phasmophobia,"31,481","41,008","112,717"
38.,Dead by Daylight,"31,316","45,543","105,093"
39.,THRONE AND LIBERTY,"31,268","59,198","336,300"
40.,ARK: Survival Ascended,"30,900","41,267","98,047"
41.,Hearts of Iron IV,"30,450","59,854","93,196"
42.,PAYDAY 2,"30,237","34,506","247,709"
43.,Football Manager 2024,"30,135","71,084","89,478"
44.,The Elder Scrolls V: Skyrim Special Edition,"29,649","41,021","69,906"
45.,Terraria,"29,483","44,586","489,886"
46.,Lost Ark,"28,596","34,969","1,325,305"
47.,7 Days to Die,"27,187","39,043","125,419"
48.,The Binding of Isaac: Rebirth,"26,988","42,380","70,701"
49.,Black Myth: Wukong,"26,702","82,355","2,415,714"
50.,tModLoader,"26,390","39,675","48,278"
51.,Factorio,"26,337","42,131","118,674"
52.,Valheim,"25,491","46,224","502,387"
53.,Total War: WARHAMMER III,"25,438","40,998","166,754"
54.,Satisfactory,"24,729","40,004","186,158"
55.,Sons Of The Forest,"24,041","44,279","414,257"
56.,Once Human,"23,707","40,499","231,668"
57.,Monster Hunter: World,"23,571","55,435","334,684"
58.,ARK: Survival Evolved,"23,148","41,068","248,405"
59.,RimWorld,"22,751","28,783","62,257"
60.,Hogwarts Legacy,"22,747","42,342","879,308"
61.,Lethal Company,"22,475","24,555","240,817"
62.,Overwatch® 2,"22,030","34,731","75,608"
63.,FINAL FANTASY XIV Online,"21,624","24,777","95,150"
64.,Don't Starve Together,"21,097","65,200","115,925"
65.,Cats,"20,805","21,263","90,669"
66.,Stellaris,"19,762","28,278","68,602"
67.,Garry's Mod,"19,740","34,459","73,863"
68.,NBA 2K25,"19,728","33,875","40,856"
69.,Rocket League,"19,356","30,560","147,632"
70.,Spacewar,"19,207","52,606","102,705"
71.,Destiny 2,"18,916","23,060","316,750"
72.,The Witcher 3: Wild Hunt,"18,866","46,134","103,329"
73.,Black Desert,"18,346","24,984","60,395"
74.,Age of Empires II: Definitive Edition,"17,966","29,176","38,725"
75.,MIR4,"17,813","18,935","97,173"
76.,Farming Simulator 25,"17,252","60,457","135,970"
77.,Unturned,"17,063","20,406","112,703"
78.,Crusader Kings III,"16,779","27,833","98,872"
79.,Euro Truck Simulator 2,"16,548","69,325","69,754"
80.,Mount & Blade II: Bannerlord,"16,021","32,490","248,216"
81.,BeamNG.drive,"15,310","27,413","29,893"
82.,Ready or Not,"15,168","21,003","55,174"
83.,Slay the Spire,"15,083","20,476","33,086"
84.,Fallout 4,"14,994","20,602","472,962"
85.,Yu-Gi-Oh! Master Duel,"14,285","19,921","262,689"
86.,Geometry Dash,"14,039","21,183","88,346"
87.,Sid Meier's Civilization V,"13,971","20,742","91,363"
88.,S.T.A.L.K.E.R. 2: Heart of Chornobyl,"13,149","35,614","121,335"
89.,Squad,"13,059","24,817","38,573"
90.,Limbus Company,"12,973","21,265","50,458"
91.,Enshrouded,"12,873","22,009","160,405"
92.,Europa Universalis IV,"12,851","23,375","48,165"
93.,Dark and Darker,"12,668","17,739","57,164"
94.,SCUM,"12,649","23,984","68,322"
95.,"Warhammer 40,000: Space Marine 2","12,644","18,812","225,690"
96.,Deadlock,"12,559","20,385","171,490"
97.,THE FINALS,"12,450","17,413","242,619"
98.,Cookie Clicker,"12,174","13,701","67,867"
99.,Metaphor: ReFantazio,"12,107","13,142","85,961"
100.,American Truck Simulator,"11,869","13,611","19,153"
